 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | dmu_wCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0.5 / -0.5 | 0 / 0 | 0 / 0 |
 | dmu_biasCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1 / -1 | 0 / 0 |
 | gamma_stat_CCSR5_bin_0 | 0 / 0 | 0.00142925 / -0.00142925 | 0.000441795 / -0.000441795 | 2.63962e-06 / -2.63962e-06 | 1.37669e-07 / -1.37669e-07 | 5.50375e-08 / -5.50375e-08 | 0.00135536 / -0.00135536 | 0.00475812 / -0.00475812 | 0.00608464 / -0.00608464 | 0.00181478 / -0.00181478 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_1 | 0 / 0 | 2.14577e-07 / -2.14577e-07 | 0.000710349 / -0.000710349 | 2.12562e-06 / -2.12562e-06 | 1.10862e-07 / -1.10862e-07 | 4.43204e-08 / -4.43204e-08 | 0.00153427 / -0.00153427 | 0.00600638 / -0.00600638 | 0.0065476 / -0.0065476 | 0.00308448 / -0.00308448 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_2 | 0 / 0 | 1.93104e-07 / -1.93104e-07 | 0.000211809 / -0.000211809 | 1.91291e-06 / -1.91291e-06 | 0.000491895 / -0.000491895 | 3.98853e-08 / -3.98853e-08 | 0.00169359 / -0.00169359 | 0.00525326 / -0.00525326 | 0.00415962 / -0.00415962 | 0.00809739 / -0.00809739 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_3 | 0 / 0 | 1.47036e-07 / -1.47036e-07 | 0.000610047 / -0.000610047 | 0.000660744 / -0.000660744 | 7.59667e-08 / -7.59667e-08 | 3.03701e-08 / -3.03701e-08 | 0.00385036 / -0.00385036 | 0.00348329 / -0.00348329 | 0.00514676 / -0.00514676 | 0.00874002 / -0.00874002 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_4 | 0 / 0 | 0.000948244 / -0.000948244 | 0.000478242 / -0.000478242 | 0.0021046 / -0.0021046 | 6.38265e-08 / -6.38265e-08 | 2.55166e-08 / -2.55166e-08 | 0.00531123 / -0.00531123 | 0.00397426 / -0.00397426 | 0.00672979 / -0.00672979 | 0.0120491 / -0.0120491 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_5 | 0 / 0 | 0.00127043 / -0.00127043 | 0.000407832 / -0.000407832 | 9.08655e-07 / -9.08655e-07 | 4.73908e-08 / -4.73908e-08 | 0.00155608 / -0.00155608 | 0.00725911 / -0.00725911 | 0.00656626 / -0.00656626 | 0.00621249 / -0.00621249 | 0.0167755 / -0.0167755 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_6 | 0 / 0 | 0.00198382 / -0.00198382 | 0.000740277 / -0.000740277 | 8.41697e-07 / -8.41697e-07 | 0.000110803 / -0.000110803 | 0.00762725 / -0.00762725 | 0.0108077 / -0.0108077 | 0.00818512 / -0.00818512 | 0.00751522 / -0.00751522 | 0.0164211 / -0.0164211 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_7 | 0 / 0 | 0.00283259 / -0.00283259 | 0.00112811 / -0.00112811 | 0.0025977 / -0.0025977 | 0.00188063 / -0.00188063 | 0.0028581 / -0.0028581 | 0.0142942 / -0.0142942 | 0.00786943 / -0.00786943 | 0.00495654 / -0.00495654 | 0.0146996 / -0.0146996 | 0 / 0 | 0 / 0 |
