 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | dmu_biasBBSR5_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1 / -1 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_0 | 0 / 0 | 0.00056818 / -0.00056818 | 0.00304573 / -0.00304573 | 1.90883e-05 / -1.90883e-05 | 0.000563196 / -0.000563196 | 0.00234357 / -0.00234357 | 0.00192076 / -0.00192076 | 0.00389991 / -0.00389991 | 0.00319949 / -0.00319949 | 0.00228136 / -0.00228136 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_1 | 0 / 0 | 0.000501875 / -0.000501875 | 0.00435193 / -0.00435193 | 4.92951e-08 / -4.92951e-08 | 6.14489e-06 / -6.14489e-06 | 0.00565513 / -0.00565513 | 0.00448351 / -0.00448351 | 0.00543724 / -0.00543724 | 0.000893192 / -0.000893192 | 0.00926459 / -0.00926459 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_2 | 0 / 0 | 0.000344478 / -0.000344478 | 0 / 0 | 3.53876e-08 / -3.53876e-08 | 0.0311893 / -0.0311893 | 0.00900677 / -0.00900677 | 0.00537627 / -0.00537627 | 0.00757981 / -0.00757981 | 0.0199525 / -0.0199525 | 0.00639146 / -0.00639146 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_3 | 0 / 0 | 0.00085634 / -0.00085634 | 0.00138248 / -0.00138248 | 2.9542e-08 / -2.9542e-08 | 1.6722e-08 / -1.6722e-08 | 0.00669891 / -0.00669891 | 0.00767032 / -0.00767032 | 0.00534131 / -0.00534131 | 0.0183759 / -0.0183759 | 0.0431609 / -0.0431609 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_4 | 0 / 0 | 0.00080745 / -0.00080745 | 0.00197481 / -0.00197481 | 0.00715993 / -0.00715993 | 5.07698e-05 / -5.07698e-05 | 0.00310434 / -0.00310434 | 0.00886858 / -0.00886858 | 0.00940433 / -0.00940433 | 0.010897 / -0.010897 | 0.0154169 / -0.0154169 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_5 | 0 / 0 | 0.000994148 / -0.000994148 | 0.00129609 / -0.00129609 | 1.55116e-05 / -1.55116e-05 | 2.47319e-06 / -2.47319e-06 | 0.00719214 / -0.00719214 | 0.0134809 / -0.0134809 | 0.00864893 / -0.00864893 | 0.00268595 / -0.00268595 | 0.0143108 / -0.0143108 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_6 | 0 / 0 | 0.00156392 / -0.00156392 | 0.000931347 / -0.000931347 | 4.06561e-06 / -4.06561e-06 | 0.0138044 / -0.0138044 | 0.000546236 / -0.000546236 | 0.0156029 / -0.0156029 | 0.0131325 / -0.0131325 | 0.0151653 / -0.0151653 | 0.0176027 / -0.0176027 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_7 | 0 / 0 | 0.00180419 / -0.00180419 | 0.00151714 / -0.00151714 | 0.00126129 / -0.00126129 | 0.00189263 / -0.00189263 | 0.00210689 / -0.00210689 | 0.0182684 / -0.0182684 | 0.0159813 / -0.0159813 | 0.00433177 / -0.00433177 | 0.0105155 / -0.0105155 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_8 | 0 / 0 | 0.00278995 / -0.00278995 | 0.000896119 / -0.000896119 | 0.00339119 / -0.00339119 | 0.000134388 / -0.000134388 | 0.00173644 / -0.00173644 | 0.0182328 / -0.0182328 | 0.0184696 / -0.0184696 | 0.00865408 / -0.00865408 | 0.00908429 / -0.00908429 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_9 | 0 / 0 | 0.00452744 / -0.00452744 | 0.00180949 / -0.00180949 | 0.00755171 / -0.00755171 | 0.000616997 / -0.000616997 | 0.00266213 / -0.00266213 | 0.0144375 / -0.0144375 | 0.00902696 / -0.00902696 | 0.000429575 / -0.000429575 | 0.00368485 / -0.00368485 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_10 | 0 / 0 | 0.00739008 / -0.00739008 | 0.00545435 / -0.00545435 | 0.00921748 / -0.00921748 | 0.00230295 / -0.00230295 | 0.00171886 / -0.00171886 | 0.00787808 / -0.00787808 | 0.00798354 / -0.00798354 | 0.0105848 / -0.0105848 | 0.0022438 / -0.0022438 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_11 | 0 / 0 | 0.00896941 / -0.00896941 | 0.00300975 / -0.00300975 | 0.0171099 / -0.0171099 | 0.00460026 / -0.00460026 | 0.00240478 / -0.00240478 | 0.00366651 / -0.00366651 | 0.00551834 / -0.00551834 | 0.000408312 / -0.000408312 | 0.00471456 / -0.00471456 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_12 | 0 / 0 | 0.00936032 / -0.00936032 | 0.00910328 / -0.00910328 | 0.00385026 / -0.00385026 | 0.004032 / -0.004032 | 0.00234759 / -0.00234759 | 0.00158788 / -0.00158788 | 0.00215375 / -0.00215375 | 0.000271771 / -0.000271771 | 0.00111094 / -0.00111094 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_13 | 0 / 0 | 0.00921304 / -0.00921304 | 0.00876219 / -0.00876219 | 0.0101488 / -0.0101488 | 0.00927487 / -0.00927487 | 0.00358156 / -0.00358156 | 0.000403779 / -0.000403779 | 0.00100699 / -0.00100699 | 0.000160136 / -0.000160136 | 0.000348893 / -0.000348893 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_14 | 0 / 0 | 0.0101163 / -0.0101163 | 0.00461482 / -0.00461482 | 0.00276311 / -0.00276311 | 0.00311692 / -0.00311692 | 0.00322159 / -0.00322159 | 0.000149278 / -0.000149278 | 0.000687538 / -0.000687538 | 0.0025602 / -0.0025602 | 0.000630085 / -0.000630085 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_15 | 0 / 0 | 0.00939175 / -0.00939175 | 0.0101919 / -0.0101919 | 0.00799081 / -0.00799081 | 0.0106181 / -0.0106181 | 0.00493752 / -0.00493752 | 5.90242e-05 / -5.90242e-05 | 0.000858721 / -0.000858721 | 0.000206475 / -0.000206475 | 0.000489411 / -0.000489411 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR5_run3_bin_16 | 0 / 0 | 0.00997137 / -0.00997137 | 0.0196918 / -0.0196918 | 0.0161737 / -0.0161737 | 0.0136738 / -0.0136738 | 0.0101794 / -0.0101794 | 0.000135921 / -0.000135921 | 0.000596209 / -0.000596209 | 0.0082648 / -0.0082648 | 0.000987179 / -0.000987179 | 0 / 0 | 0 / 0 |
