 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | PDF90427_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0151299 / -0.0151315 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90428_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0133876 / 0.0133864 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90429_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0181873 / -0.0181895 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 5.35686e-07 / -5.2295e-07 | 0.328589 / -0.111661 | 0.0743174 / -0.0741661 | 0 / 0 | 0 / 0 | 0.111044 / -0.0627437 | -0.0407543 / 0.0662921 | 0.0658599 / -0.0545729 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 3.08896e-06 / -3.11852e-06 | -0.0972164 / 0.117729 | 0.188433 / -0.187812 | 0 / 0 | 0.0260129 / -0.0235122 | 0.160963 / -0.134521 | 0.0859103 / -0.0840005 | -0.078763 / 0.078808 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | -7.96233e-06 / 7.96233e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | -1.81496e-06 / 1.81496e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90402_vbfhcc_2223 | 0 / 0 | 0 / 0 | -1.98517e-06 / 1.99945e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90406_vbfhcc_2223 | 0 / 0 | 0 / 0 | -9.59717e-07 / 9.7038e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90408_vbfhcc_2223 | 0 / 0 | 0 / 0 | -3.12358e-08 / 3.11651e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90411_vbfhcc_2223 | 0 / 0 | 0 / 0 | -2.7834e-07 / 2.77328e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90413_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.54955e-07 / -1.572e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90418_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.80806e-06 / -1.8406e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.0453794 / -0.0661977 | 0.0453794 / -0.0661977 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317782 / -0.0317851 | 0.0317782 / -0.0317851 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | 0 / 0 | 0.164894 / -0.116009 | -0.169723 / 0.169269 | 0 / 0 | 0.0306505 / -0.0305216 | 0.0639777 / -0.0123755 | -0.00574062 / 0.0116243 | -1.09968e-05 / 9.53878e-06 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0.00343831 / 0.0286932 | -0.0224611 / 0.0224592 | 0 / 0 | 0 / 0 | 0.0298082 / -0.0272346 | -0.0376267 / 0.0376212 | -0.00334654 / 0.0159471 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | 0 / 0 | 0 / 0 | 0.157354 / -0.146754 | 0 / 0 | 0 / 0 | 0.0244495 / -0.0232884 | 0.0741598 / -0.0602793 | -0.0460587 / 0.0502065 | 2.02996e-05 / -2.05327e-05 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252352 / 0.0566998 | 0.0143279 / -0.00879766 | 0 / 0 | 0.0175732 / -0.0166041 | 0.0972459 / -0.0818636 | 0.0383041 / -0.0287904 | 0.0374987 / -0.0375104 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | 0.064668 / 0.0128843 | -0.153725 / 0.153436 | 0 / 0 | 2.35988e-05 / -2.43741e-05 | 0.0316159 / -0.0083316 | -0.0560094 / 0.0608096 | 0.107806 / -0.0936164 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.201493 / -0.134713 | 0 / 0 | 0 / 0 | -5.67782e-06 / 5.57473e-06 | 0.0379979 / -0.0211293 | 0.0336558 / -0.014554 | 0.0161099 / -0.0159866 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19683 / -0.165383 | -0.103617 / 0.103522 | 0 / 0 | -1.53561e-05 / 1.53198e-05 | 0.0596314 / -0.0439128 | 0.0391101 / -0.0285408 | -0.0395082 / 0.0411717 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0524376 / 0.00331585 | 0.024994 / -0.0250001 | 0 / 0 | 0.0460984 / -0.0435447 | 0.0817714 / -0.0441755 | -0.0225437 / 0.0261744 | 0.0466389 / -0.0324085 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501587 / 0.0597921 | 0.21692 / -0.217746 | 0 / 0 | -0.0199634 / 0.0212613 | 0.059546 / -0.0340394 | 0.0800697 / -0.0718136 | 0.0343027 / -0.0312346 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0 / 0 | 0 / 0 | -0.114107 / 0.144878 | 0.2255 / -0.220775 | 0 / 0 | -0.0212906 / 0.02241 | -0.0232862 / 0.0464278 | 0.0250832 / -0.0250916 | 0.0526824 / -0.0431906 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.359313 / -0.221496 | 0.0197389 / -0.00734351 | 0 / 0 | 0.0254236 / -0.0252895 | 0.0859237 / -0.050939 | 0.0220163 / -0.0182328 | -5.65469e-06 / 2.30282e-06 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0524954 / 0.114223 | -0.0282904 / 0.0337672 | 0 / 0 | -0.0259519 / 0.0272028 | 0.0158315 / -0.00282756 | 0.0204201 / -0.0204218 | -0.0474561 / 0.0557178 | 0 / 0 | 0 / 0 |
