 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0309947 / -0.00913989 | 0.108221 / -0.108221 | 0 / 0 | 0.0181617 / -0.0181617 | 0.0143658 / -0.00654589 | 0.0138814 / -0.0138814 | 0.0163499 / -0.00381368 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | 0 / 0 | 0 / 0 | -0.0530642 / 0.0833584 | 0 / 0 | 0 / 0 | -0.0112324 / 0.0115891 | -0.0346689 / 0.0346689 | -0.0120362 / 0.0120362 | -0.0238867 / 0.0294802 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 0 / 0 | 0.0606042 / -0.0343895 | 0.0779392 / -0.0779391 | 0 / 0 | -0.0225869 / 0.0233366 | 0.0911657 / -0.0870267 | 0 / 0 | -0.0148805 / 0.0148805 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0787835 / -0.0142823 | 0 / 0 | 0 / 0 | -0.0218013 / 0.0218014 | 0.110901 / -0.110901 | 0.0351185 / -0.0226538 | 0.0251294 / -0.0235849 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0260969 / 0.0368276 | 0.0378542 / -0.0378541 | 0 / 0 | 0.0355493 / -0.0345545 | 0.0592159 / -0.047786 | 0.0347307 / -0.0347306 | -0.0394288 / 0.0411242 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.121567 / -0.0172932 | 0.0393037 / -0.0393037 | 0 / 0 | 2.22045e-16 / 0 | -0.0421103 / 0.0426611 | 0.0599189 / -0.0521911 | 0.0165614 / -0.00542544 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.104852 / 0.118204 | 0.0195413 / -0.018769 | 0 / 0 | -0.0285783 / 0.0285783 | -0.0488895 / 0.0493519 | 0.0138324 / -0.0138324 | 0.0431895 / -0.0383333 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.326245 / -0.230882 | -0.0569638 / 0.0569638 | 0 / 0 | -0.0215414 / 0.0215414 | 0 / 0 | -0.0212595 / 0.0212596 | 0.0202394 / -0.0185129 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0 / 0 | 0 / 0 | -0.153177 / 0.153177 | 0.0233397 / -0.0225674 | 0 / 0 | -0.0309174 / 0.0309441 | -0.0253949 / 0.0290959 | 0.055406 / -0.0554061 | -0.00773573 / 0.0194187 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0 / 0 | 0 / 0 | -0.264926 / 0.268756 | -0.05578 / 0.0557799 | 0 / 0 | -4.44089e-16 / -1.11022e-16 | 0.0728212 / -0.0716906 | 0.0435892 / -0.0435892 | 0.011672 / 0.00622718 | 0 / 0 | 0 / 0 |
