 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | gamma_stat_CCSR4_bin_3 | 0 / 0 | 0.000973947 / -0.000973947 | 0.000468543 / -0.000468543 | 3.2617e-06 / -3.2617e-06 | 1.44443e-07 / -1.44443e-07 | 6.84623e-08 / -6.84623e-08 | 0.00466467 / -0.00466467 | 0.00243304 / -0.00243304 | 0.0077769 / -0.0077769 | 0.0113228 / -0.0113228 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_4 | 0 / 0 | 0.00156163 / -0.00156163 | 0.000335064 / -0.000335064 | 0.000803968 / -0.000803968 | 1.16548e-07 / -1.16548e-07 | 5.52408e-08 / -5.52408e-08 | 0.00487194 / -0.00487194 | 0.00170032 / -0.00170032 | 0.00804574 / -0.00804574 | 0.0178495 / -0.0178495 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_5 | 0 / 0 | 0.00106185 / -0.00106185 | 0.000544842 / -0.000544842 | 0.00529171 / -0.00529171 | 8.31864e-08 / -8.31864e-08 | 3.94282e-08 / -3.94282e-08 | 0.0084886 / -0.0084886 | 0.00350749 / -0.00350749 | 0.00732662 / -0.00732662 | 0.0210573 / -0.0210573 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_6 | 0 / 0 | 0.0022854 / -0.0022854 | 0.000561161 / -0.000561161 | 0.00402639 / -0.00402639 | 7.07395e-08 / -7.07395e-08 | 3.35287e-08 / -3.35287e-08 | 0.0116213 / -0.0116213 | 0.00831443 / -0.00831443 | 0.00711985 / -0.00711985 | 0.0189761 / -0.0189761 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_7 | 0 / 0 | 0.00127293 / -0.00127293 | 0.000974211 / -0.000974211 | 0.00260647 / -0.00260647 | 0.00370854 / -0.00370854 | 0.00636389 / -0.00636389 | 0.0152401 / -0.0152401 | 0.0123546 / -0.0123546 | 0.00923242 / -0.00923242 | 0.0176364 / -0.0176364 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_8 | 0 / 0 | 0.00259057 / -0.00259057 | 0.00165771 / -0.00165771 | 0.00386675 / -0.00386675 | 0.00432332 / -0.00432332 | 0.00545755 / -0.00545755 | 0.0170393 / -0.0170393 | 0.015223 / -0.015223 | 0.00447197 / -0.00447197 | 0.00994314 / -0.00994314 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_9 | 0 / 0 | 0.00704346 / -0.00704346 | 0.00295326 / -0.00295326 | 0.00299698 / -0.00299698 | 0.00241335 / -0.00241335 | 4.03582e-08 / -4.03582e-08 | 0.0213472 / -0.0213472 | 0.0149649 / -0.0149649 | 0.00632379 / -0.00632379 | 0.00538489 / -0.00538489 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_10 | 0 / 0 | 0.00924688 / -0.00924688 | 0.00499974 / -0.00499974 | 0.0139772 / -0.0139772 | 0.0111822 / -0.0111822 | 4.62495e-08 / -4.62495e-08 | 0.0128465 / -0.0128465 | 0.0088063 / -0.0088063 | 0.00750672 / -0.00750672 | 0.00237327 / -0.00237327 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_11 | 0 / 0 | 0.0144229 / -0.0144229 | 0.00860596 / -0.00860596 | 0.0043213 / -0.0043213 | 0.0125779 / -0.0125779 | 4.55268e-08 / -4.55268e-08 | 0.00623268 / -0.00623268 | 0.00271991 / -0.00271991 | 0.00387189 / -0.00387189 | 0.000794289 / -0.000794289 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_12 | 0 / 0 | 0.0109859 / -0.0109859 | 0.0106629 / -0.0106629 | 0.0147864 / -0.0147864 | 0.0119192 / -0.0119192 | 0.0154305 / -0.0154305 | 0.00181959 / -0.00181959 | 0.00181849 / -0.00181849 | 0.00229845 / -0.00229845 | 0.000666432 / -0.000666432 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_13 | 0 / 0 | 0.0136029 / -0.0136029 | 0.00993249 / -0.00993249 | 0.00959394 / -0.00959394 | 0.0078578 / -0.0078578 | 2.66964e-08 / -2.66964e-08 | 0.000471211 / -0.000471211 | 0.00153345 / -0.00153345 | 0.00240067 / -0.00240067 | 9.94759e-05 / -9.94759e-05 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_14 | 0 / 0 | 0.0147845 / -0.0147845 | 0.01497 / -0.01497 | 0.0101718 / -0.0101718 | 0.0203019 / -0.0203019 | 0.014306 / -0.014306 | 0.000550173 / -0.000550173 | 0.00102187 / -0.00102187 | 0.00424349 / -0.00424349 | 0.000422218 / -0.000422218 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_15 | 0 / 0 | 0.00871494 / -0.00871494 | 0.0147437 / -0.0147437 | 0.0064402 / -0.0064402 | 0.0119679 / -0.0119679 | 3.28353e-08 / -3.28353e-08 | 0.000413593 / -0.000413593 | 0.00369617 / -0.00369617 | 0.00320346 / -0.00320346 | 0.000255222 / -0.000255222 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_16 | 0 / 0 | 0.00489144 / -0.00489144 | 0.0107452 / -0.0107452 | 0.00498643 / -0.00498643 | 0.00692816 / -0.00692816 | 0.00739382 / -0.00739382 | 0.000197608 / -0.000197608 | 0.000796701 / -0.000796701 | 0.00088089 / -0.00088089 | 0.000233044 / -0.000233044 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_17 | 0 / 0 | 0.00598818 / -0.00598818 | 0.0119693 / -0.0119693 | 0.0158373 / -0.0158373 | 0.00659318 / -0.00659318 | 5.43376e-08 / -5.43376e-08 | 0.000788401 / -0.000788401 | 0.0034649 / -0.0034649 | 0.006007 / -0.006007 | 6.057e-05 / -6.057e-05 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_18 | 0 / 0 | 0.00119512 / -0.00119512 | 0.0089437 / -0.0089437 | 0.00728762 / -0.00728762 | 1.75536e-07 / -1.75536e-07 | 0.0205719 / -0.0205719 | 0.000179874 / -0.000179874 | 0.0101253 / -0.0101253 | 0.00564001 / -0.00564001 | 0.000233956 / -0.000233956 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_19 | 0 / 0 | 2.52205e-07 / -2.52205e-07 | 0.00284342 / -0.00284342 | 3.98674e-06 / -3.98674e-06 | 0.00518197 / -0.00518197 | 8.36807e-08 / -8.36807e-08 | 0.000101454 / -0.000101454 | 0.00547205 / -0.00547205 | 0.00435358 / -0.00435358 | 0.00185576 / -0.00185576 | 0 / 0 | 0 / 0 |
