 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0 / 0 | 0 / 0 | -0.139571 / 0.142088 | -0.0731663 / 0.0805514 | 0 / 0 | 0.0137473 / -0.0137473 | -0.0125 / 0.0124999 | 0.0278282 / -0.0278282 | -0.0121532 / 0.0137052 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0179235 / 0.0179234 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0661324 / -0.0597998 | 0 / 0 | 0 / 0 | 0.0642258 / -0.0609169 | -0.0150825 / 0.0150825 | 4.44089e-16 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.148099 / -0.124103 | 0 / 0 | -0.0300956 / 0.0300956 | -0.0572999 / 0.0576764 | 0.021997 / -0.021997 | -4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0744989 / 0.0748646 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -0.0368969 / 0.0368968 | -0.0318205 / 0.0318205 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0981158 / -0.0902535 | 0 / 0 | -0.0205697 / 0.0207822 | -0.0179535 / 0.0179535 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.113252 / -0.0965377 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.0968736 / -0.0968736 | 0.0131786 / -0.0131786 | -0.0314647 / 0.0343902 | 0 / 0 | 0 / 0 |
 | dmu_ttCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zCCSR5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0138279 / 0.013828 | 0.0298467 / -0.0298415 | 0.0119845 / -0.0119845 | 0 / 0 | 0 / 0 | 0 / 0 |
